id,input,type,meaning_en,native_script,alt_translation,variants/0,variants/1,variants/2,tokens/0,tokens/1,tokens/2,tokens/3,confidence,category,freq_rank,variants/3
6061,kal scene kya hai 1213,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.89,chat_phrase,6061,
6062,tu kidhar hai 1213,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.82,chat_phrase,6062,
6063,main aa raha hu 1213,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.9,chat_phrase,6063,mainaarahahu
6064,kya kar raha hai 1213,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.84,chat_phrase,6064,
6065,jaldi aaja 1213,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.85,chat_phrase,6065,jaldiaaja
6066,kal scene kya hai 1214,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.96,chat_phrase,6066,
6067,tu kidhar hai 1214,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.84,chat_phrase,6067,
6068,main aa raha hu 1214,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.93,chat_phrase,6068,mainaarahahu
6069,kya kar raha hai 1214,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.86,chat_phrase,6069,
6070,jaldi aaja 1214,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.84,chat_phrase,6070,jaldiaaja
6071,kal scene kya hai 1215,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.92,chat_phrase,6071,
6072,tu kidhar hai 1215,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.87,chat_phrase,6072,
6073,main aa raha hu 1215,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.95,chat_phrase,6073,mainaarahahu
6074,kya kar raha hai 1215,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.82,chat_phrase,6074,
6075,jaldi aaja 1215,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.94,chat_phrase,6075,jaldiaaja
6076,kal scene kya hai 1216,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.9,chat_phrase,6076,
6077,tu kidhar hai 1216,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.94,chat_phrase,6077,
6078,main aa raha hu 1216,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.97,chat_phrase,6078,mainaarahahu
6079,kya kar raha hai 1216,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.97,chat_phrase,6079,
6080,jaldi aaja 1216,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.88,chat_phrase,6080,jaldiaaja
6081,kal scene kya hai 1217,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.96,chat_phrase,6081,
6082,tu kidhar hai 1217,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.87,chat_phrase,6082,
6083,main aa raha hu 1217,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.86,chat_phrase,6083,mainaarahahu
6084,kya kar raha hai 1217,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.85,chat_phrase,6084,
6085,jaldi aaja 1217,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.85,chat_phrase,6085,jaldiaaja
6086,kal scene kya hai 1218,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.98,chat_phrase,6086,
6087,tu kidhar hai 1218,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.97,chat_phrase,6087,
6088,main aa raha hu 1218,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.87,chat_phrase,6088,mainaarahahu
6089,kya kar raha hai 1218,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.93,chat_phrase,6089,
6090,jaldi aaja 1218,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.94,chat_phrase,6090,jaldiaaja
6091,kal scene kya hai 1219,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.96,chat_phrase,6091,
6092,tu kidhar hai 1219,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.88,chat_phrase,6092,
6093,main aa raha hu 1219,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.92,chat_phrase,6093,mainaarahahu
6094,kya kar raha hai 1219,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.86,chat_phrase,6094,
6095,jaldi aaja 1219,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.97,chat_phrase,6095,jaldiaaja
6096,kal scene kya hai 1220,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.97,chat_phrase,6096,
6097,tu kidhar hai 1220,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.84,chat_phrase,6097,
6098,main aa raha hu 1220,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.86,chat_phrase,6098,mainaarahahu
6099,kya kar raha hai 1220,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.91,chat_phrase,6099,
6100,jaldi aaja 1220,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.82,chat_phrase,6100,jaldiaaja
6101,kal scene kya hai 1221,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.96,chat_phrase,6101,
6102,tu kidhar hai 1221,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.87,chat_phrase,6102,
6103,main aa raha hu 1221,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.97,chat_phrase,6103,mainaarahahu
6104,kya kar raha hai 1221,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.93,chat_phrase,6104,
6105,jaldi aaja 1221,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.83,chat_phrase,6105,jaldiaaja
6106,kal scene kya hai 1222,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.93,chat_phrase,6106,
6107,tu kidhar hai 1222,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.87,chat_phrase,6107,
6108,main aa raha hu 1222,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.87,chat_phrase,6108,mainaarahahu
6109,kya kar raha hai 1222,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.92,chat_phrase,6109,
6110,jaldi aaja 1222,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.89,chat_phrase,6110,jaldiaaja
6111,kal scene kya hai 1223,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.92,chat_phrase,6111,
6112,tu kidhar hai 1223,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.84,chat_phrase,6112,
6113,main aa raha hu 1223,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.91,chat_phrase,6113,mainaarahahu
6114,kya kar raha hai 1223,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.87,chat_phrase,6114,
6115,jaldi aaja 1223,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.9,chat_phrase,6115,jaldiaaja
6116,kal scene kya hai 1224,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.98,chat_phrase,6116,
6117,tu kidhar hai 1224,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.92,chat_phrase,6117,
6118,main aa raha hu 1224,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.91,chat_phrase,6118,mainaarahahu
6119,kya kar raha hai 1224,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.89,chat_phrase,6119,
6120,jaldi aaja 1224,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.98,chat_phrase,6120,jaldiaaja
6121,kal scene kya hai 1225,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.85,chat_phrase,6121,
6122,tu kidhar hai 1225,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.82,chat_phrase,6122,
6123,main aa raha hu 1225,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.85,chat_phrase,6123,mainaarahahu
6124,kya kar raha hai 1225,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.9,chat_phrase,6124,
6125,jaldi aaja 1225,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.88,chat_phrase,6125,jaldiaaja
6126,kal scene kya hai 1226,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.98,chat_phrase,6126,
6127,tu kidhar hai 1226,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.85,chat_phrase,6127,
6128,main aa raha hu 1226,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.9,chat_phrase,6128,mainaarahahu
6129,kya kar raha hai 1226,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.91,chat_phrase,6129,
6130,jaldi aaja 1226,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.89,chat_phrase,6130,jaldiaaja
6131,kal scene kya hai 1227,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.87,chat_phrase,6131,
6132,tu kidhar hai 1227,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.97,chat_phrase,6132,
6133,main aa raha hu 1227,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.95,chat_phrase,6133,mainaarahahu
6134,kya kar raha hai 1227,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.85,chat_phrase,6134,
6135,jaldi aaja 1227,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.83,chat_phrase,6135,jaldiaaja
6136,kal scene kya hai 1228,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.86,chat_phrase,6136,
6137,tu kidhar hai 1228,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.83,chat_phrase,6137,
6138,main aa raha hu 1228,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.88,chat_phrase,6138,mainaarahahu
6139,kya kar raha hai 1228,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.89,chat_phrase,6139,
6140,jaldi aaja 1228,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.89,chat_phrase,6140,jaldiaaja
6141,kal scene kya hai 1229,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.86,chat_phrase,6141,
6142,tu kidhar hai 1229,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.92,chat_phrase,6142,
6143,main aa raha hu 1229,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.87,chat_phrase,6143,mainaarahahu
6144,kya kar raha hai 1229,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.91,chat_phrase,6144,
6145,jaldi aaja 1229,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.95,chat_phrase,6145,jaldiaaja
6146,kal scene kya hai 1230,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.89,chat_phrase,6146,
6147,tu kidhar hai 1230,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.91,chat_phrase,6147,
6148,main aa raha hu 1230,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.88,chat_phrase,6148,mainaarahahu
6149,kya kar raha hai 1230,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.87,chat_phrase,6149,
6150,jaldi aaja 1230,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.95,chat_phrase,6150,jaldiaaja
6151,kal scene kya hai 1231,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.96,chat_phrase,6151,
6152,tu kidhar hai 1231,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.92,chat_phrase,6152,
6153,main aa raha hu 1231,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.99,chat_phrase,6153,mainaarahahu
6154,kya kar raha hai 1231,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.93,chat_phrase,6154,
6155,jaldi aaja 1231,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.86,chat_phrase,6155,jaldiaaja
6156,kal scene kya hai 1232,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.84,chat_phrase,6156,
6157,tu kidhar hai 1232,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.93,chat_phrase,6157,
6158,main aa raha hu 1232,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.82,chat_phrase,6158,mainaarahahu
6159,kya kar raha hai 1232,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.85,chat_phrase,6159,
6160,jaldi aaja 1232,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.96,chat_phrase,6160,jaldiaaja
6161,kal scene kya hai 1233,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.95,chat_phrase,6161,
6162,tu kidhar hai 1233,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.89,chat_phrase,6162,
6163,main aa raha hu 1233,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.93,chat_phrase,6163,mainaarahahu
6164,kya kar raha hai 1233,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.95,chat_phrase,6164,
6165,jaldi aaja 1233,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.89,chat_phrase,6165,jaldiaaja
6166,kal scene kya hai 1234,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.9,chat_phrase,6166,
6167,tu kidhar hai 1234,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.93,chat_phrase,6167,
6168,main aa raha hu 1234,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.99,chat_phrase,6168,mainaarahahu
6169,kya kar raha hai 1234,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.97,chat_phrase,6169,
6170,jaldi aaja 1234,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.92,chat_phrase,6170,jaldiaaja
6171,kal scene kya hai 1235,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.97,chat_phrase,6171,
6172,tu kidhar hai 1235,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.86,chat_phrase,6172,
6173,main aa raha hu 1235,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.98,chat_phrase,6173,mainaarahahu
6174,kya kar raha hai 1235,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.84,chat_phrase,6174,
6175,jaldi aaja 1235,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.9,chat_phrase,6175,jaldiaaja
6176,kal scene kya hai 1236,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.93,chat_phrase,6176,
6177,tu kidhar hai 1236,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.97,chat_phrase,6177,
6178,main aa raha hu 1236,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.95,chat_phrase,6178,mainaarahahu
6179,kya kar raha hai 1236,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.87,chat_phrase,6179,
6180,jaldi aaja 1236,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.95,chat_phrase,6180,jaldiaaja
6181,kal scene kya hai 1237,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.9,chat_phrase,6181,
6182,tu kidhar hai 1237,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.92,chat_phrase,6182,
6183,main aa raha hu 1237,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.86,chat_phrase,6183,mainaarahahu
6184,kya kar raha hai 1237,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.94,chat_phrase,6184,
6185,jaldi aaja 1237,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.96,chat_phrase,6185,jaldiaaja
6186,kal scene kya hai 1238,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.85,chat_phrase,6186,
6187,tu kidhar hai 1238,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.87,chat_phrase,6187,
6188,main aa raha hu 1238,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.83,chat_phrase,6188,mainaarahahu
6189,kya kar raha hai 1238,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.97,chat_phrase,6189,
6190,jaldi aaja 1238,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.98,chat_phrase,6190,jaldiaaja
6191,kal scene kya hai 1239,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.85,chat_phrase,6191,
6192,tu kidhar hai 1239,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.88,chat_phrase,6192,
6193,main aa raha hu 1239,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.98,chat_phrase,6193,mainaarahahu
6194,kya kar raha hai 1239,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.91,chat_phrase,6194,
6195,jaldi aaja 1239,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.84,chat_phrase,6195,jaldiaaja
6196,kal scene kya hai 1240,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.86,chat_phrase,6196,
6197,tu kidhar hai 1240,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.88,chat_phrase,6197,
